,day,date,nb_authors,place,room,ref,section,session,pres,invited,lentitle
3061,Thursday,17 December 2015,1.0,Moscone South,Poster Hall,0.0,Nonlinear Geophysics,Nonlinear Phenomena,Poster,0.0,14.0
3062,Monday,14 December 2015,3.0,Moscone South,Poster Hall,0.0,Tectonophysics,An Appraisal of Global Continental Crust,Poster,0.0,8.0
3063,Wednesday,16 December 2015,2.0,Moscone West,2005,0.0,Earth and Planetary Surface Processes,Mass Extraction and Grain Size Fractionation in Sediment Routing Systems,Oral,0.0,10.0
3064,Wednesday,16 December 2015,7.0,Moscone South,Poster Hall,0.0,Ocean Sciences,General Oceanography,Poster,0.0,8.0
3065,Tuesday,15 December 2015,4.0,Moscone South,Poster Hall,0.0,SPA-Magnetospheric Physics,Understanding the Dynamic Loss of Earth's Radiation Belts,Poster,0.0,12.0
3067,Monday,14 December 2015,4.0,Moscone West,2005,0.0,Earth and Planetary Surface Processes,Experimental Studies in Surface Processes,Oral,0.0,16.0
3068,Tuesday,15 December 2015,2.0,Moscone South,Poster Hall,0.0,Tectonophysics,Subduction across Scales VI,Poster,0.0,16.0
3069,Monday,14 December 2015,21.0,Moscone West,3002,0.0,Planetary Sciences,Scientific Investigations and Synergies in the Exploration of Europa,Oral,1.0,10.0
3072,Tuesday,15 December 2015,13.0,Moscone West,3006,0.0,Atmospheric Sciences,Emergence of a Global Observing System for Air Quality,Oral,0.0,12.0
3073,Friday,18 December 2015,5.0,Moscone South,Poster Hall,0.0,Biogeosciences,Remote Sensing of Northern High-Latitude Ecosystem and Landscape Change,Poster,0.0,22.0
3076,Monday,14 December 2015,1.0,Moscone West,3018,0.0,Hydrology,Advances and Breakthroughs in Hydrogeology,Poster,0.0,15.0
3077,Friday,18 December 2015,4.0,Moscone South,306,0.0,Tectonophysics,Crustal and Mantle Deformation and Metamorphism,Oral,1.0,16.0
3080,Monday,14 December 2015,6.0,Moscone South,Poster Hall,0.0,Biogeosciences,Rates of Accumulation and Turnover of Terrestrial and Aquatic Carbon Pools,Poster,1.0,22.0
3083,Wednesday,16 December 2015,6.0,Moscone West,3006,0.0,Atmospheric Sciences,"Intraseasonal to Decadal Climate Variability, Prediction, and Predictability Associated with Land-Atmosphere Interactions",Oral,1.0,16.0
3085,Tuesday,15 December 2015,2.0,Moscone South,Poster Hall,0.0,SPA-Magnetospheric Physics,Recent Advances in Understanding the Magnetospheric Waves and Their Effects on Energetic Particles,Poster,0.0,14.0
3087,Friday,18 December 2015,4.0,Moscone South,Poster Hall,0.0,Earth and Planetary Surface Processes,Earth and Planetary Surface Processes,Poster,0.0,17.0
3088,Wednesday,16 December 2015,9.0,Moscone West,2018,0.0,SPA-Magnetospheric Physics,Origins of Extreme Events in the Geospace,Oral,1.0,13.0
3089,Friday,18 December 2015,5.0,Moscone West,2016,0.0,SPA-Aeronomy,Composition and Temperature of the Thermosphere,Oral,1.0,12.0
